timestamp,throughput,latency,cpu_perc
0,0.0,193945,
1,235675.0,310969,100.69
2,237912.0,233745,139.83
3,230611.0,165115,151.05
4,232085.0,19746,159.54
5,232683.0,2579,168.6
6,224648.0,21251,193.52
7,239948.0,18373,193.12
8,228130.0,2553,194.96
9,188510.0,35214,194.33
10,222375.0,136973,189.68
11,237070.0,106693,183.82
12,234825.0,58060,192.62
13,212558.0,12353,184.27
14,237247.0,3968,187.34
15,233293.0,144978,187.13
16,232733.0,172114,181.45
17,238660.0,215230,183.16
18,236866.0,201800,189.5
19,195102.0,197286,191.64
20,234214.0,187560,190.78
21,234319.0,81819,186.95
22,238490.0,23234,188.13
23,213243.0,2605,191.02
24,226870.0,5818,185.6
25,218424.0,4076,189.34
26,177083.0,42422,192.01
27,180344.0,14372,184.22
28,204659.0,15008,190.14
29,206460.0,15549,187.57
30,216759.0,2506,188.42
31,234651.0,2602,186.08
32,232946.0,2555,191.77
33,236993.0,2570,189.89
34,235250.0,2570,185.76
35,231100.0,2680,193.5
36,137547.0,268315,187.31
37,206604.0,627756,186.79
38,94033.9,833806,190.63
39,0.0,0,105.97
40,0.0,0,99.8
41,0.0,0,96.41
42,0.0,0,100.26
43,0.0,0,91.91
44,0.0,0,98.74
45,0.0,0,97.47
46,0.0,0,95.13
47,0.0,0,99.35
48,0.0,0,98.52
49,0.0,0,96.02
50,0.0,0,95.26
51,0.0,0,90.21
52,0.0,0,96.85
53,0.0,0,96.45
54,0.0,0,100.36
55,0.0,0,101.42
56,0.0,0,98.19
57,0.0,0,96.61
58,0.0,0,90.95
59,0.0,0,92.99
60,0.0,0,96.44
