timestamp,throughput,latency,cpu_perc
0,0,116899,
1,280292,116536,100.75
2,273915,117616,167.81
3,284234,116563,167.15
4,284296,116507,164.2
5,269960,116667,165.46
6,276457,116469,166.0
7,265432,116997,172.29
8,276232,116980,166.81
9,271429,116414,173.17
10,263698,118622,170.59
11,282666,116662,168.49
12,255086,116678,172.88
13,257371,117055,167.36
14,278182,116425,163.5
15,276005,116713,165.57
16,286383,116547,171.06
17,270659,116789,165.63
18,267742,117324,171.79
19,259807,116382,170.19
20,261528,116446,166.59
21,263111,116440,166.93
22,274118,116492,169.54
23,258669,118794,171.81
24,273462,116399,167.95
25,261407,116337,166.29
26,272007,117919,168.29
27,246886,115946,165.65
28,259413,116674,170.96
29,270244,116343,165.85
30,280298,116488,169.91
31,263440,116810,169.69
32,278020,116481,166.78
33,269909,116838,172.14
34,277465,116545,172.86
35,274110,116503,172.12
36,255011,120059,170.77
37,263363,116325,170.08
38,269061,116606,169.53
39,269159,116439,170.32
40,269844,116558,165.61
41,267915,116949,166.55
42,265719,116524,172.02
43,286674,116642,166.99
44,253414,117474,169.49
45,265481,116823,172.89
46,267258,116537,171.29
47,265482,116314,169.01
48,281892,116525,170.44
49,277772,116991,172.06
50,271999,116885,171.44
51,269912,117345,165.06
52,267453,116455,173.15
53,265849,116341,172.07
54,261283,117077,172.29
55,265667,116367,172.71
56,279878,116533,165.74
57,269834,117647,168.58
58,284361,116582,166.16
59,281251,116123,173.63
60,278361,116901,171.23
